date	AvgMonthlyFunding
200609	3134.8
200610	3134.8
200611	3134.8
200612	3134.8
200701	3134.8
200702	3134.8
200703	3134.8
200704	3134.8
200705	3134.8
200706	3134.8
200707	3134.8
200708	3134.8
200709	3134.8
200710	3134.8
200711	3134.8
200712	3134.8
200801	3134.8
200802	3134.8
200803	3134.8
200804	3134.8
200805	3134.8
200806	3134.8
200807	3134.8
200808	3134.8
200809	3134.8
200810	3519.2
200811	3519.2
200812	3519.2
200901	3519.2
200902	3519.2
200903	3519.2
200904	3519.2
200905	3519.2
200906	3519.2
200907	3519.2
200908	3519.2
200909	3650.4
200910	3650.4
200911	3650.4
200912	3650.4
201001	3650.4
201002	3650.4
201003	3650.4
201004	3650.4
201005	12763.5
201006	15366.5
201007	15366.5
201008	15366.5
201009	15366.5
201010	15366.5
201011	20075.2
201012	20075.2
201101	20075.2
201102	20075.2
201103	20075.2
201104	20075.2
201105	20075.2
201106	20075.2
201107	20075.2
201108	20075.2
201109	16809.2
201110	16809.2
201111	16809.2
201112	16809.2
201201	16809.2
201202	16809.2
201203	16809.2
201204	16424.8
201205	16424.8
201206	44165.6
201207	44165.6
201208	44165.6
201209	35052.5
201210	35052.5
201211	35052.5
201212	35052.5
201301	35052.5
201302	35052.5
201303	35052.5
201304	35052.5
201305	35052.5
201306	35052.5
201307	35052.5
201308	35052.5
201309	35052.5
201310	45252.3
201311	45252.3
201312	45252.3
201401	45252.3
201402	42649.3
201403	42649.3
201404	42649.3
201405	42649.3
201406	37940.6
201407	37940.6
201408	37940.6
201409	37940.6
201410	37940.6
201411	37940.6
201412	37940.6
201501	37940.6
201502	37940.6
201503	37940.6
201504	37940.6
201505	37940.6
201506	10664.4
201507	10199.8
201508	10199.8
201509	10199.8
201510	10199.8
201511	10199.8
201512	10199.8
201601	10199.8
201602	10199.8
201603	10199.8
201604	10199.8
201605	10199.8
201606	10199.8
201607	10199.8
201608	10199.8
201609	10199.8
201610	10199.8
201611	10199.8
201612	10199.8
201701	10199.8
201702	10199.8
201703	10199.8
201704	10199.8
201705	10199.8
201706	10199.8
201707	10199.8
201708	10199.8
201709	10199.8
201710	8640
201711	8640
201712	8640
201801	8640
201802	8640
201803	8640
201804	8640
201805	8640
201806	8640
201807	8640
201808	8640
201809	8640
